PassengerId,Survived
2,1
10,1
12,1
14,0
16,1
21,0
22,0
25,0
36,0
41,0
45,1
50,1
52,0
55,0
61,0
64,0
67,1
68,0
70,0
73,0
82,0
85,1
90,0
98,0
99,1
100,0
103,0
111,0
124,1
130,0
132,0
138,0
143,1
152,1
158,0
175,0
178,1
180,0
195,1
196,1
198,0
204,0
205,0
208,0
213,0
216,1
219,1
226,0
233,0
240,0
245,0
249,0
252,1
262,0
263,0
267,0
268,0
277,0
288,0
292,1
293,0
297,0
298,1
303,0
306,1
309,0
311,1
313,1
314,0
315,0
316,1
319,1
322,0
326,1
328,1
332,0
333,0
339,0
340,0
346,1
347,1
353,0
356,0
367,1
378,1
379,0
380,0
383,0
388,1
391,0
392,0
395,1
396,0
397,1
404,0
413,1
417,1
418,1
422,0
423,0
424,1
428,1
431,0
434,0
438,1
439,0
442,0
443,0
447,1
449,1
451,0
453,1
457,0
459,1
470,1
472,0
478,0
492,0
500,0
505,1
507,1
513,0
519,1
527,1
529,0
536,1
537,0
538,1
540,1
545,0
549,0
550,1
559,1
571,0
575,0
584,1
591,0
592,1
596,0
600,0
607,0
608,1
610,1
615,0
616,1
617,0
619,1
621,0
622,0
623,0
625,0
627,0
629,0
631,0
632,0
638,0
641,0
643,0
645,1
650,1
656,0
658,1
659,0
660,0
667,0
677,0
678,1
682,1
683,0
686,0
690,1
692,1
699,0
702,1
703,1
704,0
707,1
716,0
725,1
730,0
732,0
745,0
746,0
757,0
770,0
772,0
773,1
778,1
780,1
781,1
788,0
796,0
799,0
804,1
811,0
812,0
813,0
815,0
819,0
822,0
823,0
825,0
830,1
831,0
851,0
859,0
861,0
862,0
875,1
880,1
881,1
883,1
886,0
887,0
890,0
